case_id	split	question	expected_primary_domain	predicted_primary_domain	primary_correct	expected_secondary_domains	predicted_secondary_domains	secondary_hit_count	secondary_expected_count	required_signals	predicted_signals	signal_hit_count	signal_expected_count	expected_stage	predicted_stage	stage_correct	required_requested_outputs	predicted_requested_outputs	requested_output_hit_count	requested_output_expected_count	expected_should_clarify	predicted_should_clarify	ambiguity_correct	clarification_question	search_query_count	search_queries	forbidden_dominant_topics	note
D011	development	가스 냄새 같은 게 나는데 무슨 가스인지는 몰라. 작업 계속해?	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	[]	[]	0	0	"[""유해가스""]"	"[""유해가스"", ""작업중지""]"	1	1	이상징후 발견 직후	작업 중	0	"[""작업중지 여부"", ""작업 가능 여부 판단""]"	"[""작업중지 여부"", ""작업 가능 여부 판단"", ""작업 재개 조건"", ""점검항목""]"	2	2	1	1	1	확인되지 않은 핵심 사항은 가스 종류, 발생 위치, 측정 상태 중 무엇입니까?	3	"[""가스 냄새 같은 게 나는데 무슨 가스인지는 몰라. 작업 계속해?"", ""환기·메탄·유해가스·산소부족 유해가스 작업중지 작업 중"", ""환기·메탄·유해가스·산소부족 유해가스 작업중지 위험 제거 재측정 책임자 확인 작업 재개 승인 안전 점검 확인사항""]"	[]	가스 종류 모호
D012	development	환기 정지 사고가 실제로 있었는지와 TBM에서 공유할 예방수칙을 알려줘	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	"[""TBM·굴진·천공""]"	"[""TBM·굴진·천공""]"	1	1	"[""환기 정지""]"	"[""환기 정지"", ""사고"", ""TBM"", ""작업 전 공유""]"	1	1	교육·회의 단계	교육·회의 단계	1	"[""공식 사고사례"", ""교육·TBM 공유사항"", ""예방대책""]"	"[""공식 사고사례"", ""교육·TBM 공유사항"", ""예방대책""]"	3	3	0	0	1		4	"[""환기 정지 사고가 실제로 있었는지와 TBM에서 공유할 예방수칙을 알려줘"", ""환기·메탄·유해가스·산소부족 TBM·굴진·천공 환기 정지 사고 TBM 작업 전 공유 교육·회의 단계"", ""환기·메탄·유해가스·산소부족 환기 정지 사고 TBM 작업 전 공유 위험 예방대책 개선조치"", ""환기·메탄·유해가스·산소부족 환기 정지 사고 TBM 작업 전 공유 공식 사고사례""]"	[]	사례와 교육
D013	development	천반 출수량이 갑자기 늘고 지보재도 휘어 보이면 조치 순서를 알려줘	낙반·붕괴·천반·지보	낙반·붕괴·천반·지보	1	[]	[]	0	0	"[""천반"", ""출수 증가"", ""지보 변형""]"	"[""천반"", ""출수 증가"", ""지보 변형""]"	3	3	이상징후 발견 직후	이상징후 발견 직후	1	"[""조치 순서"", ""점검항목""]"	"[""조치 순서"", ""점검항목""]"	2	2	0	0	1		3	"[""천반 출수량이 갑자기 늘고 지보재도 휘어 보이면 조치 순서를 알려줘"", ""낙반·붕괴·천반·지보 천반 출수 증가 지보 변형 이상징후 발견 직후"", ""낙반·붕괴·천반·지보 천반 출수 증가 지보 변형 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	명확한 복합 신호
D014	development	천장에서 부석 떨어질 것 같음 작업자 어디로 보내?	낙반·붕괴·천반·지보	낙반·붕괴·천반·지보	1	[]	[]	0	0	"[""천반"", ""부석""]"	"[""천반"", ""부석"", ""낙반""]"	2	2	이상징후 발견 직후	이상징후 발견 직후	1	"[""대피·출입통제"", ""즉시 조치""]"	"[""대피·출입통제"", ""즉시 조치""]"	2	2	0	0	1		2	"[""천장에서 부석 떨어질 것 같음 작업자 어디로 보내?"", ""낙반·붕괴·천반·지보 천반 부석 낙반 이상징후 발견 직후""]"	[]	구어체
D015	development	지보 보강 뒤 작업 재개 전에 균열과 박리를 어떻게 확인하고 누가 승인해야 하나?	낙반·붕괴·천반·지보	낙반·붕괴·천반·지보	1	[]	"[""위험성평가·작업중지·작업재개""]"	0	0	"[""지보 변형"", ""균열"", ""박리""]"	"[""지보 변형"", ""균열"", ""박리"", ""작업 재개""]"	3	3	작업 재개 전	작업 재개 전	1	"[""점검항목"", ""작업 재개 조건"", ""사업주·관리자 대응""]"	"[""점검항목"", ""작업 재개 조건"", ""사업주·관리자 대응"", ""즉시 조치""]"	3	3	0	0	1		3	"[""지보 보강 뒤 작업 재개 전에 균열과 박리를 어떻게 확인하고 누가 승인해야 하나?"", ""낙반·붕괴·천반·지보 위험성평가·작업중지·작업재개 지보 변형 균열 박리 작업 재개 작업 재개 전"", ""낙반·붕괴·천반·지보 지보 변형 균열 박리 작업 재개 안전 점검 확인사항 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	[]	재개 전
D016	development	물이 갑자기 많이 나오는데 어디서 나오는지는 몰라. 계속 작업해도 돼?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	[]	[]	0	0	"[""작업중지""]"	"[""작업중지""]"	1	1	이상징후 발견 직후	작업 중	0	"[""작업 가능 여부 판단"", ""즉시 조치""]"	"[""작업중지 여부"", ""작업 재개 조건"", ""작업 가능 여부 판단"", ""즉시 조치"", ""점검항목""]"	2	2	1	1	1	물이 발생하거나 증가한 위치가 천반·측벽·갱도·발파공·배관·장비 중 어디입니까?	3	"[""물이 갑자기 많이 나오는데 어디서 나오는지는 몰라. 계속 작업해도 돼?"", ""위험성평가·작업중지·작업재개 작업중지 작업 중"", ""위험성평가·작업중지·작업재개 작업중지 위험 제거 재측정 책임자 확인 작업 재개 승인 안전 점검 확인사항""]"	"[""천반"", ""발파""]"	발생 위치 모호
D017	development	갱내 천반 균열은 왜 위험하고 어떤 기록을 남겨야 하나?	낙반·붕괴·천반·지보	낙반·붕괴·천반·지보	1	[]	"[""사고보고·기록·중대재해 대응""]"	0	0	"[""천반"", ""균열""]"	"[""천반"", ""균열"", ""기록""]"	2	2	불명확	불명확	1	"[""위험 원인"", ""기록관리""]"	"[""위험 원인"", ""기록관리""]"	2	2	0	0	1		3	"[""갱내 천반 균열은 왜 위험하고 어떤 기록을 남겨야 하나?"", ""낙반·붕괴·천반·지보 사고보고·기록·중대재해 대응 천반 균열 기록 불명확"", ""낙반·붕괴·천반·지보 천반 균열 기록 점검 조치 보고 작업 재개 승인 기록""]"	[]	원인과 기록
D018	development	광산안전전관리자가 출수 늘어난 구역 작업자에게 뭐라고 지시해야 하고 사례도 있나?	낙반·붕괴·천반·지보	낙반·붕괴·천반·지보	1	[]	[]	0	0	"[""출수 증가""]"	"[""출수 증가""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""사업주·관리자 대응"", ""조치 순서"", ""공식 사고사례""]"	"[""조치 순서"", ""공식 사고사례"", ""사업주·관리자 대응"", ""점검항목"", ""즉시 조치""]"	3	3	1	1	1	물이 발생하거나 증가한 위치가 천반·측벽·갱도·발파공·배관·장비 중 어디입니까?	4	"[""광산안전관리자가 출수 늘어난 구역 작업자에게 뭐라고 지시해야 하고 사례도 있나?"", ""낙반·붕괴·천반·지보 출수 증가 이상징후 발견 직후"", ""낙반·붕괴·천반·지보 출수 증가 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항"", ""낙반·붕괴·천반·지보 출수 증가 공식 사고사례""]"	[]	오타와 위치 확인
D019	development	전기설비 정비 전에 LOTO 절차와 무전압 확인 순서를 알려줘	전기·감전·LOTO	전기·감전·LOTO	1	[]	[]	0	0	"[""전기설비"", ""잠금·표지"", ""무전압""]"	"[""전기설비"", ""정비"", ""잠금·표지"", ""무전압""]"	3	3	점검·정비 전	점검·정비 전	1	"[""조치 순서"", ""점검항목""]"	"[""조치 순서"", ""점검항목""]"	2	2	0	0	1		3	"[""전기설비 정비 전에 LOTO 절차와 무전압 확인 순서를 알려줘"", ""전기·감전·LOTO 전기설비 정비 잠금·표지 무전압 점검·정비 전"", ""전기·감전·LOTO 전기설비 정비 잠금·표지 무전압 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	정식 절차
D020	development	누전 난 것 같은데 차단기만 내리고 만져도 됨?	전기·감전·LOTO	전기·감전·LOTO	1	[]	[]	0	0	"[""누전"", ""전원 차단""]"	"[""전기설비"", ""전원 차단"", ""누전""]"	2	2	이상징후 발견 직후	이상징후 발견 직후	1	"[""작업 가능 여부 판단"", ""즉시 조치""]"	"[""작업 가능 여부 판단"", ""즉시 조치""]"	2	2	0	0	1		2	"[""누전 난 것 같은데 차단기만 내리고 만져도 됨?"", ""전기·감전·LOTO 전기설비 전원 차단 누전 이상징후 발견 직후""]"	[]	현장 구어체
D021	development	감전 사고가 나면 구조자가 먼저 뭘 하고 어떻게 보고해야 해?	전기·감전·LOTO	전기·감전·LOTO	1	"[""응급조치·의식상실·구조""]"	"[""응급조치·의식상실·구조"", ""사고보고·기록·중대재해 대응""]"	1	1	"[""감전"", ""구조""]"	"[""전기설비"", ""감전"", ""구조"", ""2차 위험"", ""사고"", ""사고보고""]"	2	2	사고 발생 직후	사고 발생 직후	1	"[""조치 순서"", ""보고 대상""]"	"[""조치 순서"", ""즉시 조치"", ""보고 대상"", ""점검항목""]"	2	2	0	0	1		3	"[""감전 사고가 나면 구조자가 먼저 뭘 하고 어떻게 보고해야 해?"", ""전기·감전·LOTO 응급조치·의식상실·구조 사고보고·기록·중대재해 대응 전기설비 감전 구조 2차 위험 사고 사고보고 사고 발생 직후"", ""전기·감전·LOTO 전기설비 감전 구조 2차 위험 사고 사고보고 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	사고 복합
D022	development	전원차단 잠금표지 무전압확인 이거 왜 다 해야 함? 근거도 줘	전기·감전·LOTO	전기·감전·LOTO	1	[]	[]	0	0	"[""전원 차단"", ""잠금·표지"", ""무전압""]"	"[""전기설비"", ""전원 차단"", ""잠금·표지"", ""무전압""]"	3	3	점검·정비 전	점검·정비 전	1	"[""위험 원인"", ""공식 법령·지침 근거""]"	"[""점검항목"", ""위험 원인"", ""공식 법령·지침 근거""]"	2	2	0	0	1		4	"[""전원차단 잠금표지 무전압확인 이거 왜 다 해야 함? 근거도 줘"", ""전기·감전·LOTO 전기설비 전원 차단 잠금·표지 무전압 점검·정비 전"", ""전기·감전·LOTO 전기설비 전원 차단 잠금·표지 무전압 안전 점검 확인사항 공식 법령 지침 근거 문서 chunk_id"", ""전기·감전·LOTO 전기설비 전원 차단 잠금·표지 무전압 공식 법령 지침""]"	[]	띄어쓰기 오류
D023	development	전기 판넬에서 소리만 나는데 누전인지 과열인지 모르겠어. 계속 써?	전기·감전·LOTO	전기·감전·LOTO	1	[]	[]	0	0	"[""전기설비""]"	"[""전기설비"", ""누전""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""작업중지 여부"", ""작업 가능 여부 판단""]"	"[""작업중지 여부"", ""작업 가능 여부 판단"", ""작업 재개 조건"", ""점검항목""]"	2	2	1	1	1	이상 징후가 발생한 전기설비와 현재 차단 상태는 무엇입니까?	3	"[""전기 판넬에서 소리만 나는데 누전인지 과열인지 모르겠어. 계속 써?"", ""전기·감전·LOTO 전기설비 누전 이상징후 발견 직후"", ""전기·감전·LOTO 전기설비 누전 위험 제거 재측정 책임자 확인 작업 재개 승인 안전 점검 확인사항""]"	[]	원인 모호
D024	development	전기 정비 작업의 비슷한 사고 사례와 작업 재개 승인 기록 항목 알려줘	전기·감전·LOTO	전기·감전·LOTO	1	[]	"[""위험성평가·작업중지·작업재개"", ""사고보고·기록·중대재해 대응""]"	0	0	"[""정비""]"	"[""전기설비"", ""정비"", ""작업 재개"", ""사고"", ""기록""]"	1	1	작업 재개 전	작업 재개 전	1	"[""유사 위험 사례"", ""작업 재개 조건"", ""기록관리""]"	"[""작업 재개 조건"", ""기록관리"", ""공식 사고사례"", ""유사 위험 사례""]"	3	3	0	0	1		4	"[""전기 정비 작업의 비슷한 사고 사례와 작업 재개 승인 기록 항목 알려줘"", ""전기·감전·LOTO 위험성평가·작업중지·작업재개 사고보고·기록·중대재해 대응 전기설비 정비 작업 재개 사고 기록 작업 재개 전"", ""전기·감전·LOTO 전기설비 정비 작업 재개 사고 기록 위험 제거 재측정 책임자 확인 작업 재개 승인 점검 조치 보고 작업 재개 승인 기록"", ""전기·감전·LOTO 전기설비 정비 작업 재개 사고 기록 공식 사고사례""]"	[]	사례와 기록
D025	development	컨베이어가 도는 중 밑에 낀 돌을 빼려면 먼저 무엇을 해야 하나?	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	[]	[]	0	0	"[""컨베이어"", ""운전 중 제거"", ""끼임""]"	"[""컨베이어"", ""운전 중 제거"", ""끼임""]"	3	3	작업 중	작업 중	1	"[""조치 순서"", ""작업중지 여부""]"	"[""조치 순서"", ""작업중지 여부""]"	2	2	0	0	1		3	"[""컨베이어가 도는 중 밑에 낀 돌을 빼려면 먼저 무엇을 해야 하나?"", ""컨베이어·끼임·파쇄 컨베이어 운전 중 제거 끼임 작업 중"", ""컨베이어·끼임·파쇄 컨베이어 운전 중 제거 끼임 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록""]"	[]	운전 중 제거
D026	development	벨트 밑 청소 잠깐만 해도 됨?	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	[]	[]	0	0	"[""컨베이어"", ""운전 중 제거""]"	"[""컨베이어"", ""운전 중 제거""]"	2	2	작업 중	작업 중	1	"[""작업 가능 여부 판단""]"	"[""작업 가능 여부 판단""]"	1	1	0	0	1		2	"[""벨트 밑 청소 잠깐만 해도 됨?"", ""컨베이어·끼임·파쇄 컨베이어 운전 중 제거 작업 중""]"	[]	짧은 표현
D027	development	파쇄기 막힘 제거 전 에너지 차단과 재가동 방지 점검표가 필요해	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	"[""전기·감전·LOTO""]"	"[""위험성평가·작업중지·작업재개""]"	0	1	"[""파쇄기"", ""에너지 차단""]"	"[""정비"", ""파쇄기"", ""에너지 차단"", ""작업 재개""]"	2	2	점검·정비 전	점검·정비 전	1	"[""점검항목"", ""예방대책""]"	"[""조치 순서"", ""점검항목"", ""작업 재개 조건"", ""예방대책"", ""작업중지 여부""]"	2	2	0	0	1		3	"[""파쇄기 막힘 제거 전 에너지 차단과 재가동 방지 점검표가 필요해"", ""컨베이어·끼임·파쇄 위험성평가·작업중지·작업재개 정비 파쇄기 에너지 차단 작업 재개 점검·정비 전"", ""컨베이어·끼임·파쇄 정비 파쇄기 에너지 차단 작업 재개 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항 위험 제거 재측정 책임자 확인 작업 재개 승인 위험 예방대책 개선조치""]"	[]	LOTO 복합
D028	development	컨베이어 끼임 사고 사례랑 관리자가 작업자한테 지시할 순서를 보여줘	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	[]	[]	0	0	"[""컨베이어"", ""끼임""]"	"[""컨베이어"", ""끼임"", ""사고""]"	2	2	교육·회의 단계	교육·회의 단계	1	"[""공식 사고사례"", ""사업주·관리자 대응"", ""조치 순서""]"	"[""조치 순서"", ""공식 사고사례"", ""사업주·관리자 대응""]"	3	3	0	0	1		4	"[""컨베이어 끼임 사고 사례랑 관리자가 작업자한테 지시할 순서를 보여줘"", ""컨베이어·끼임·파쇄 컨베이어 끼임 사고 교육·회의 단계"", ""컨베이어·끼임·파쇄 컨베이어 끼임 사고 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록"", ""컨베이어·끼임·파쇄 컨베이어 끼임 사고 공식 사고사례""]"	[]	사례 요청
D029	development	벨트 쪽에서 이상음 나는데 어디가 문제인지는 몰라. 바로 세워야 함?	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	[]	[]	0	0	"[""컨베이어""]"	"[""컨베이어"", ""작업중지""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""작업중지 여부"", ""즉시 조치""]"	"[""작업중지 여부"", ""점검항목""]"	1	2	1	1	1	이상 징후가 난 설비 위치와 현재 운전·에너지 차단 상태는 무엇입니까?	3	"[""벨트 쪽에서 이상음 나는데 어디가 문제인지는 몰라. 바로 세워야 함?"", ""컨베이어·끼임·파쇄 컨베이어 작업중지 이상징후 발견 직후"", ""컨베이어·끼임·파쇄 컨베이어 작업중지 안전 점검 확인사항""]"	[]	원인 모호
D030	development	파쇄기 정비끝나고 다시 돌리기 전에 사람 확인과 기록은 뭘 해야 해?	컨베이어·끼임·파쇄	컨베이어·끼임·파쇄	1	[]	"[""사고보고·기록·중대재해 대응""]"	0	0	"[""파쇄기""]"	"[""정비"", ""파쇄기"", ""작업 재개"", ""기록""]"	1	1	작업 재개 전	작업 재개 전	1	"[""작업 재개 조건"", ""기록관리""]"	"[""즉시 조치"", ""점검항목"", ""작업 재개 조건"", ""기록관리""]"	2	2	0	0	1		3	"[""파쇄기 정비끝나고 다시 돌리기 전에 사람 확인과 기록은 뭘 해야 해?"", ""컨베이어·끼임·파쇄 사고보고·기록·중대재해 대응 정비 파쇄기 작업 재개 기록 작업 재개 전"", ""컨베이어·끼임·파쇄 정비 파쇄기 작업 재개 기록 안전 점검 확인사항 위험 제거 재측정 책임자 확인 작업 재개 승인 점검 조치 보고 작업 재개 승인 기록""]"	[]	재가동 전
D031	development	덤프트럭 후진 작업에서 충돌 위험을 막으려면 신호수와 사각지대를 어떻게 확인하나?	차량·장비·후진·충돌	차량·장비·후진·충돌	1	[]	[]	0	0	"[""후진"", ""충돌"", ""신호수"", ""사각지대""]"	"[""차량"", ""후진"", ""충돌"", ""사각지대"", ""신호수""]"	4	4	작업 전	작업 전	1	"[""점검항목"", ""예방대책""]"	"[""점검항목"", ""예방대책""]"	2	2	0	0	1		3	"[""덤프트럭 후진 작업에서 충돌 위험을 막으려면 신호수와 사각지대를 어떻게 확인하나?"", ""차량·장비·후진·충돌 차량 후진 충돌 사각지대 신호수 작업 전"", ""차량·장비·후진·충돌 차량 후진 충돌 사각지대 신호수 안전 점검 확인사항 위험 예방대책 개선조치""]"	[]	정식 문장
D032	development	굴착기 옆으로 그냥 지나가도 돼?	차량·장비·후진·충돌	차량·장비·후진·충돌	1	[]	[]	0	0	"[""장비""]"	"[""장비""]"	1	1	작업 중	작업 중	1	"[""작업 가능 여부 판단""]"	"[""작업 가능 여부 판단""]"	1	1	1	1	1	장비가 운전 중인지와 작업자가 접근하려는 위치는 어디입니까?	2	"[""굴착기 옆으로 그냥 지나가도 돼?"", ""차량·장비·후진·충돌 장비 작업 중""]"	[]	거리와 상태 모호
